date,channel,channel_title,views,forwards,reactions,er,text,links,keywords,post_url
2026-03-10 16:50,breakingmash,Mash,994468,1284,0,0.129,"Фестиваль ""Прорыв"" снова выкручивает адреналин на максимум! 21 марта на ""ЦСКА Арене"" соберутся топовые райдеры со всего мира, чтобы показать, как ломаются законы физики. Экстремалы, ради которых фанаты летали в другие уголки земного шара, теперь выступят под одной крышей.

В программе: FMX, стантрайдинг, дрифт, шоу каскадёров и силовой экстрим. Среди участников — легенда FMX Роб Адельберг, у которого за плечами 20 медалей X Games, из них 10 золотых. И больше 30 титулованных спортсменов из Австра",https://proryvfest.ru/?erid=2W5zFG652Vw | https://proryvfest.ru/?erid=2W5zFG652Vw),"erid, маркировка_рекламы",https://t.me/breakingmash/72551
2026-03-10 16:32,breakingmash,Mash,977958,3504,0,0.358,"Рабочая неделя началась — а мы подготовили для вас вторничный Mash-дайджест с главными новостями дня. Не грустим и читаем:

— ""Сейчас Украина контролирует 15–17% территории ДНР**,** хотя полгода назад речь шла о 25%"", — рассказал Владимир Путин на встрече с Денисом Пушилиным.

— США отменили часть санкций в отношении нефти из России, чтобы снизить цены, заявил Трамп. 

— Минобороны России подготовило законопроект, разрешающий экстерриториальное использование формирований ВС РФ для защиты наших г",https://t.me/mashnasporte/40129 | https://t.me/mashnasporte/40128 | https://t.me/mashnasporte/40128) | https://t.me/mashnasporte/40129) | https://d.code-qr.ru/qkpWG6UY) | https://t.me/mashkomnata/11095) | https://d.code-qr.ru/qkpWG6UY | https://t.me/mashkomnata/11095,маркировка_рекламы,https://t.me/breakingmash/72550
2026-03-11 11:00,breakingmash,Mash,928179,514,0,0.055,"За этим мы охотимся — котики с эффектом стерео-варио, которые улыбаются и показывают язык! Альфа-Банк первым выпустил такую карту. 

С ней можно забирать кешбэк до 2000 рублей каждый месяц и учиться копить деньги — всё это получат дети вместе с лимитированной Мяу-Картой. К счастью, [оформить](https://alfa.me/jqCQ_n?erid=2VtzqxaTVsS) её может и взрослый.",https://alfa.me/jqCQ_n?erid=2VtzqxaTVsS) | https://alfa.me/jqCQ_n?erid=2VtzqxaTVsS,"erid, маркировка_рекламы",https://t.me/breakingmash/72561
2026-03-12 16:32,breakingmash,Mash,892367,479,0,0.054,"Мантра на день: я не виноват, виновата [""Брусника"".](https://t.me/brusnikacompany/4508?erid=2VtzqxdM2Ny) 

Запомнили, зафиксировали, повторили, обиделись, снова обвинили не себя и пошли делать дела.",https://t.me/brusnikacompany/4508?erid=2VtzqxdM2Ny) | https://t.me/brusnikacompany/4508?erid=2VtzqxdM2Ny,"erid, маркировка_рекламы",https://t.me/breakingmash/72599
2026-03-12 12:27,breakingmash,Mash,882326,777,0,0.088,"Женская часть нашей редакции утопала на шопинг — потому что Альфа-Банк даёт до [100% кешбэка](https://alfa.me/Fz46dl?erid=2VtzqvoGCJZ) на покупки в Золотом Яблоке.

Если хотите себе такой же — крутите барабан суперкешбэка в приложении банка. Заветные корзины с штучками для красоты оплачивайте картой Альфа-Банка до 15 марта — и получайте деньги назад.",https://alfa.me/Fz46dl?erid=2VtzqvoGCJZ | https://alfa.me/Fz46dl?erid=2VtzqvoGCJZ),"erid, маркировка_рекламы",https://t.me/breakingmash/72593
2026-03-13 09:34,breakingmash,Mash,878173,184,0,0.021,"Стильно, модно, молодёжно — шарить за стилёк балдёжно. Альфа-Банк и ÖMANKÖ замутили коллаборацию и выпустили лимитированные гравировки для банковских карт.

Вышло три дизайна — и кошелёк украсят, и заставят друзей обзавидоваться. Короче, вот [ссылка](https://alfa.me/itHTO1?erid=2VtzqxM6X6V), там можно забрать эксклюзивную Альфа-Карту и похвастаться батьку. И матьку.","https://alfa.me/itHTO1?erid=2VtzqxM6X6V), | https://alfa.me/itHTO1?erid=2VtzqxM6X6V","erid, маркировка_рекламы",https://t.me/breakingmash/72623
2026-03-18 07:00,breakingmash,Mash,776482,373,0,0.048,"Альфа-Банк накрывает предпринимателям стол из 50 тысяч призов. Раздают автомобиль TENET T4, iPhone 17, MacBook Air и множество других полезностей для бизнеса. 

Запоминайте: [открываете счёт](https://alfa.me/hyNIo0?erid=2VtzqxdNPpy) для бизнеса и оплачиваете покупку от 1000 рублей бизнес-картой до 29 марта. Затем — с 6 по 12 апреля идёте в приложение или Альфа-Бизнес Онлайн, ищите раздел Альфа-Выгодно и крутите там колесо призов. Готово, выигрыш уже у вас.",https://alfa.me/hyNIo0?erid=2VtzqxdNPpy) | https://alfa.me/hyNIo0?erid=2VtzqxdNPpy,"erid, маркировка_рекламы",https://t.me/breakingmash/72719
2026-03-19 16:00,breakingmash,Mash,667684,175,0,0.026,"Сбер приглашает тебя на праздник — в честь Дня клиента. По этому случаю собрал тёплые и радостные моменты за год + подготовил сюрпризы. Всё уже ждёт в приложении СберБанк Онлайн и на сайте [sber.ru](https://www.sberbank.ru/promo/clientsday?utm_source=mash&utm_medium=free&utm_campaign=clientday2026&erid=2VtzqvfjbY1)! 

Нажимай на светящиеся предметы в румбоксах и забирай промокоды от партнёров. Внутри курьерской сумки может оказаться романтическое свидание для влюблённых. Переходи по ссылке выше ",https://www.sberbank.ru/promo/clientsday?utm_source=mash&utm_medium=free&utm_campaign=clientday2026&erid=2VtzqvfjbY1)! | https://www.sberbank.ru/promo/clientsday?utm_source=mash&utm_medium=free&utm_campaign=clientday2026&erid=2VtzqvfjbY1,"erid, маркировка_рекламы",https://t.me/breakingmash/72753
2026-03-25 07:00,breakingmash,Mash,606808,1092,0,0.18,"Встречайте, WB Инвесткопилка. С ней можно вкладывать деньги в бизнес Wildberries и [получать доход.](https://invest.wildberries.ru/?erid=2VtzqwRj4H3)

Сервис работает в тестовом режиме, а с середины апреля он станет доступен всем пользователям мобильного приложения. Минимальная сумма вложений — от 100 рублей, проценты начисляются каждый день, а доход рассчитывается по формуле ""ключевая ставка минус 3 п. п"". Деньги из инвесткопилки можно выводить в любой день без потери накопленного, либо оплачив",https://invest.wildberries.ru/?erid=2VtzqwRj4H3) | https://invest.wildberries.ru/?erid=2VtzqwRj4H3,"erid, маркировка_рекламы",https://t.me/breakingmash/72898
2026-03-20 17:01,breakingmash,Mash,598556,1366,0,0.228,"Миу-миу-миу-миушная коллаба дня — ""Бургер Кинг"" и ""Три кота"". По этому случаю они [разыгрывают](https://t.me/+u0RA6J0khIc2MzYy?erid=2VtzqwzToqf) поездку на море на троих и мерч!

Чтобы забрать призы, нужно:
— купить ""Три Кота Бокс"" в приложении БК (так вы автоматически будете участвовать в розыгрыше);
— ждать итогов 26 июня 2026 года.

Всего будет 11 победителей. И только один из них получит шанс сгонять в семейное путешествие. Остальным достанется фирменный мерч с мультяшными котиками. Так что ",https://t.me/+u0RA6J0khIc2MzYy?erid=2VtzqwzToqf | https://t.me/+u0RA6J0khIc2MzYy?erid=2VtzqwzToqf),"erid, маркировка_рекламы",https://t.me/breakingmash/72788
2026-03-20 07:02,breakingmash,Mash,598143,2074,0,0.347,"Экономим 50 тысяч рублей на путешествии — вместе с Яндекс 🌍 Путешествиями. 

Для этого берём промокод TELEGA, бронируем отдых на март и всё — ловим скидку 25% (максимум 50к деревянных).

Жирный промик действует только до 22 марта, поэтому спешим его забрать, чтобы [отдохнуть](https://travel.yandex.ru/?utm_source=telegram&utm_medium=smmpromo&utm_campaign=telega&utm_content=mash&erid=2VtzqurNhnu).",https://travel.yandex.ru/?utm_source=telegram&utm_medium=smmpromo&utm_campaign=telega&utm_content=mash&erid=2VtzqurNhnu). | https://travel.yandex.ru/?utm_source=telegram&utm_medium=smmpromo&utm_campaign=telega&utm_content=mash&erid=2VtzqurNhnu,"erid, маркировка_рекламы",https://t.me/breakingmash/72766
2026-03-23 09:21,breakingmash,Mash,591333,502,0,0.085,"До самого светлого праздника весны — Пасхи — осталось всего ничего. И пока вы решаете, как будете украшать стол, чтобы отметить этот день с близкими, смотрите, что мы нашли.

Российский бренд из Белгорода ""Шоколатика"" сделал лимитированную коллекцию яиц из бельгийского шоколада с начинкой из миндаля двойной обжарки. Компания давно завоевала доверие благодаря натуральным продуктам, вниманию к качеству и вкусам, которые не уступают европейским.

Такое можно и любимым подарить, и соседских ребятише",https://www.wildberries.ru/catalog/366263533/detail.aspx) | https://t.me/mir_chocolatica?erid=2VtzqviA1ty | https://t.me/mir_chocolatica) | https://t.me/mir_chocolatica | https://www.wildberries.ru/catalog/366263533/detail.aspx | https://t.me/mir_chocolatica?erid=2VtzqviA1ty),"erid, маркировка_рекламы",https://t.me/breakingmash/72838
2026-03-24 11:00,breakingmash,Mash,569897,414,0,0.073,"Смог смог — и вы сможете. Альфа-Банк [разыгрывает](https://alfa.me/2ybzey?erid=2Vtzqx9oHem) квартиру-студию в Москве, автомобили и больше 37 миллионов рублей в Стикермании от ""Вкусно — и точка"".

До 19 апреля заказывайте бургеры, картошечку и другие блюда из акции в приложении сети. Сканируйте QR-код перед оплатой — на кассе или в киоске самообслуживания. Или оформите доставку в приложении, если лень топать ножками. А после получения заказа — срывайте стикеры, где вас уже ждет шанс выиграть тачк",https://alfa.me/2ybzey?erid=2Vtzqx9oHem) | https://alfa.me/2ybzey?erid=2Vtzqx9oHem,"erid, маркировка_рекламы",https://t.me/breakingmash/72882
2026-03-24 15:46,breakingmash,Mash,554638,354,0,0.064,"ГигаЧат обновился и стал ещё полезнее — теперь он помнит контекст беседы, быстрее отвечает, понимает с полуслова и лучше решает персональные задачи.

Общайтесь с ИИ-помощником, получайте информацию и удивляйтесь тому, как он запоминает важные детали для вас. А в дальнейшем учитывает личные интересы, предпочтения в еде, любовь к ретроформам и многому другому. 

В функции ""Общаться голосом"" ГигаЧат ищет данные в инете прямо во время разговора. С ним можно говорить как с другом — перебивать, переск",https://giga.chat/?utm_source=tg&utm_medium=fix&utm_campaign=mk_gigachat_seeding_gigachatultra_post_2026_march&utm_term=breakingmash&erid=2VtzqvsK5w3) | https://giga.chat/?utm_source=tg&utm_medium=fix&utm_campaign=mk_gigachat_seeding_gigachatultra_post_2026_march&utm_term=breakingmash&erid=2VtzqvsK5w3,"erid, маркировка_рекламы",https://t.me/breakingmash/72890
2026-03-25 11:01,breakingmash,Mash,539567,223,0,0.041,"Подписчики, такое нужно забирать: Альфа-Банк разыгрывает миллион рублей среди тех, кто откроет накопительный счёт и положит туда больше 10 тысяч рублей. Деньги [начисляют](https://alfa.me/N1PW3I?erid=2VtzqwLJLMK) по четвергам — до 14 мая. Чем больше на счёте, тем выше шансы на успех.

Не визуализируем, а действуем!",https://alfa.me/N1PW3I?erid=2VtzqwLJLMK | https://alfa.me/N1PW3I?erid=2VtzqwLJLMK),"erid, маркировка_рекламы",https://t.me/breakingmash/72906
2026-03-26 16:03,breakingmash,Mash,536817,3801,0,0.708,"Безлимит в The Бык стал ещё ближе! С понедельника по пятницу залетаем [вот в эти рестики](https://t.me/bullmyaso/834?erid=2Vtzqvnm5oK) и едим столько, сколько влезет, всего за 999 рублей. Но есть пара условий:

— Предложение действует только в ресторанах с 12:00 до 16:00.
— Съесть надо всё блюдо.
— Напитки подаются общими чайниками или графинами.
— Для детей от 3 до 12 лет скидка 50% на Безлимит.

Приходите в The Бык баловать свои вкусовые сосочки в Москве, Питере, Калуге и Туле.",https://t.me/bullmyaso/834?erid=2Vtzqvnm5oK | https://t.me/bullmyaso/834?erid=2Vtzqvnm5oK),"erid, маркировка_рекламы",https://t.me/breakingmash/72957
2026-03-25 16:15,breakingmash,Mash,525820,86,0,0.016,"Бизнесмены, выдыхаем! Нашли способ как снизить финансовую нагрузку на обслуживание счёта. 

Совкомбанк запускает акцию для предпринимателей ""Держи ноль"". По ней каждый делец-молодец будет получать Х2 бесплатные лимиты на платежи и переводы + повышенную ставку по депозитам. Для этого нужно выполнять одно из условий каждый месяц:

— остаток по счёту от 5 тысяч рублей
— оплаченная комиссия от 500 рублей
— кредит для бизнеса без просрочки

Главное — успейте открыть расчётный счёт до 30 апреля на тар",https://scb.im/rRcqrb?erid=2Vtzqw58HoT). | https://scb.im/rRcqrb?erid=2Vtzqw58HoT,"erid, маркировка_рекламы",https://t.me/breakingmash/72924
2026-03-17 13:06,varlamov_news,Varlamov News,326125,148,0,0.045,"Нужна карта, которая работает везде: от оплаты ChatGPT до банкомата в Испании?

💳 Карта банка Ближнего Зарубежья — [самый разумный вариант](https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_17_mar) для международных платежей. 

Карта позволит:
— Принимать переводы и снимать наличку
— Оплачивать покупки и подписки за рубежом
— Хранить деньги безопасно на именном счете

Finomenal поможет вам на каждом этапе — от обращения до активации карты.

🎁 Скидка 5.000₽ 
для подписчиков Ва",https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_17_mar | https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_17_mar),маркировка_рекламы,https://t.me/varlamov_news/69336
2026-03-14 14:12,varlamov_news,Varlamov News,311426,141,0,0.045,"Нужна карта, которая работает везде: от оплаты ChatGPT до банкомата в Испании?

💳 Карта банка Ближнего Зарубежья — [самый разумный вариант](https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_14_mar) для международных платежей. 

Карта позволит:
— Принимать переводы и снимать наличку
— Оплачивать покупки и подписки за рубежом
— Хранить деньги безопасно на именном счете

Finomenal поможет вам на каждом этапе — от обращения до активации карты.

🎁 Скидка 5.000₽ для подписчиков Вар",https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_14_mar) | https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_14_mar,маркировка_рекламы,https://t.me/varlamov_news/69262
2026-03-18 11:00,varlamov_news,Varlamov News,293791,1890,0,0.643,"[InstVPN](https://t.me/reels_vpn_bot?start=varlamovnews) — впн, которому можно доверять

[🛡InstVPN](https://t.me/reels_vpn_bot?start=varlamovnews) — **быстрый и стабильный** VPN на базе современного протокола, который обеспечивает надежную защиту от блокировок и полную анонимность вашего трафика.

🔐Ребята сосредоточены на скорости и доступности серверов

[🌐InstVPN](https://t.me/reels_vpn_bot?start=varlamovnews) починит Telegram, WhatsApp и поможет с доступом к YouTube, социальным сетям и тп.

⚡️",https://t.me/reels_vpn_bot?start=varlamovnews | https://t.me/reels_vpn_bot?start=varlamovnews) | tg://proxy?server=tg2.x6.homes&port=443&secret=dd9d137443c118caab90485732ae358230 | https://t.me/InstVpn | https://t.me/InstVpn),маркировка_рекламы,https://t.me/varlamov_news/69359
2026-03-21 12:12,varlamov_news,Varlamov News,293104,175,0,0.06,"«Цирк уродов» в наши дни. Кто хайпует на людях с особенностями?

Когда-то выстраивались очереди из желающих посмотреть на «не таких» людей. Подобные представления считались обычным развлечением и назывались «фрик-шоу». Это была настоящая индустрия, зарабатывающая на человеческих особенностях.

Но исчезла ли она на самом деле? Сегодня роль «**цирков уродо**в» все чаще играют соцсети. Миллионы просмотров набирают блогеры с особенностями, вокруг которых строится контент, реклама и самый настоящий б",https://vrlmv.com/v4dpk3 | https://youtu.be/iPXCvv8dwls | https://youtu.be/iPXCvv8dwls) | https://vrlmv.com/v4dpk3),маркировка_рекламы,https://t.me/varlamov_news/69435
2026-03-26 13:04,varlamov_news,Varlamov News,286580,2461,1,0.859,"Суд присяжных в США обязал Meta и Google выплатить в общей сложности шесть миллионов долларов по иску 20-летней девушки, заявившей, что она стала зависима от соцсетей и это привело к проблемам с психологическим здоровьем — Bloomberg

По словам истицы Кейли Г.М. (полное имя не приводится), использование YouTube и Instagram с детского возраста стало причиной ее тревожности, депрессии и дисморфофобии. Кейли также подавала иски против TikTok и Snap, но стороны заключили досудебные соглашения, услови",https://www.youtube.com/watch?v=7rZLKKPhePI | https://www.youtube.com/watch?v=7rZLKKPhePI),маркировка_рекламы,https://t.me/varlamov_news/69561
2026-03-25 07:27,varlamov_news,Varlamov News,280075,705,7,0.254,"За рекламу в Telegram и на YouTube не будут штрафовать до конца 2026 года, но штрафы продолжат применять за рекламу в Instagram, Facebook и сервисах VPN — пресс-служба ФАС России

Послабления в отношении Telegram и YouTube ведомство объяснило необходимостью «переходного периода» для «адаптации к новым правилам и переориентирования на другие рекламные каналы».

ФАС заявляет, что реклама не допускается на ресурсах, к которым в России ограничивают доступ.
_______________________

Не работают Telegr",https://t.me/DureVpnBot?start=3DTfmWEVS | https://t.me/DureVpnBot?start=3DTfmWEVS),маркировка_рекламы,https://t.me/varlamov_news/69527
2026-03-24 13:30,varlamov_news,Varlamov News,275006,131,0,0.048,"Нужна карта, которая работает везде: от оплаты ChatGPT до банкомата в Испании?

💳 Карта банка Ближнего Зарубежья — [самый разумный вариант](https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_24_mar) для международных платежей. 

Карта позволит:
— Принимать переводы и снимать наличку
— Оплачивать покупки и подписки за рубежом
— Хранить деньги безопасно на именном счете

Finomenal поможет вам на каждом этапе — от обращения до активации карты.

🎁 Скидка 5.000₽ 
для подписчиков Ва",https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_24_mar | https://sbsite.pro//FINOMENAL_1?utm_source=FL&utm_content=tg_varlamov_24_mar),маркировка_рекламы,https://t.me/varlamov_news/69510
